day, sold 
2019-07-08 ,26
2019-07-15 ,10
2019-07-18 ,4
2019-07-21 ,1
2019-07-22 ,24
2019-07-29 ,16
2019-08-05 ,27
2019-08-12 ,23
2019-08-19 ,35
2019-08-26 ,1
