day, sold 
2019-07-08 ,36
2019-07-10 ,3
2019-07-11 ,8
2019-07-13 ,1
2019-07-15 ,48
2019-07-17 ,2
2019-07-20 ,2
2019-07-22 ,29
2019-07-24 ,29
2019-07-25 ,7
2019-07-26 ,10
2019-07-27 ,4
2019-07-28 ,2
2019-07-29 ,53
2019-07-31 ,1
2019-08-01 ,25
2019-08-02 ,1
2019-08-04 ,3
2019-08-05 ,23
